
2024/12/14 (11:36:39) | ===> btop++ v.1.4.0
2024/12/14 (11:36:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/14 (11:49:05) | ===> btop++ v.1.4.0
2024/12/14 (11:49:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/14 (11:51:11) | ===> btop++ v.1.4.0
2024/12/14 (11:51:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/14 (11:52:40) | ===> btop++ v.1.4.0
2024/12/14 (11:52:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/14 (13:18:19) | ===> btop++ v.1.4.0
2024/12/14 (13:18:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/14 (13:20:06) | ===> btop++ v.1.4.0
2024/12/14 (13:20:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported
